93,20240622100600-14-3320200,雷注意報,倉敷市,2024-06-22 10:06:00+09,2024-06-23 22:20:00+09,1日12時14分00秒間
94,20240623024700-15-3320200,強風注意報,倉敷市,2024-06-23 02:47:00+09,2024-06-23 17:40:00+09,0日14時53分00秒間
95,20240623024700-16-3320200,波浪注意報,倉敷市,2024-06-23 02:47:00+09,2024-06-23 17:40:00+09,0日14時53分00秒間
96,20240622144800-19-3320200,高潮注意報,倉敷市,2024-06-22 14:48:00+09,2024-06-23 02:47:00+09,0日11時59分00秒間
97,20240619185100-14-3320200,雷注意報,倉敷市,2024-06-19 18:51:00+09,2024-06-19 21:38:00+09,0日02時47分00秒間
98,20240618054000-10-3320200,大雨注意報,倉敷市,2024-06-18 05:40:00+09,2024-06-18 08:58:00+09,0日03時18分00秒間
99,20240618054000-18-3320200,洪水注意報,倉敷市,2024-06-18 05:40:00+09,2024-06-18 08:58:00+09,0日03時18分00秒間
100,20240616041400-14-3320200,雷注意報,倉敷市,2024-06-16 04:14:00+09,2024-06-16 21:04:00+09,0日16時50分00秒間
101,20240613101300-14-3320200,雷注意報,倉敷市,2024-06-13 10:13:00+09,2024-06-13 20:18:00+09,0日10時05分00秒間
102,20240611101000-14-3320200,雷注意報,倉敷市,2024-06-11 10:10:00+09,2024-06-11 20:20:00+09,0日10時10分00秒間
103,20240610100200-14-3320200,雷注意報,倉敷市,2024-06-10 10:02:00+09,2024-06-10 23:50:00+09,0日13時48分00秒間
104,20240609203000-14-3320200,雷注意報,倉敷市,2024-06-09 20:30:00+09,2024-06-09 23:41:00+09,0日03時11分00秒間
105,20240608201200-15-3320200,強風注意報,倉敷市,2024-06-08 20:12:00+09,2024-06-09 23:41:00+09,1日03時29分00秒間
106,20240608201200-16-3320200,波浪注意報,倉敷市,2024-06-08 20:12:00+09,2024-06-09 23:41:00+09,1日03時29分00秒間
107,20240601023600-20-3320200,濃霧注意報,倉敷市,2024-06-01 02:36:00+09,2024-06-01 08:26:00+09,0日05時50分00秒間
108,20240528143200-10-3320200,大雨注意報,倉敷市,2024-05-28 14:32:00+09,2024-05-28 20:51:00+09,0日06時19分00秒間
109,20240528143200-18-3320200,洪水注意報,倉敷市,2024-05-28 14:32:00+09,2024-05-28 20:51:00+09,0日06時19分00秒間
110,20240528091000-04-3320200,洪水警報,倉敷市,2024-05-28 09:10:00+09,2024-05-28 14:32:00+09,0日05時22分00秒間
111,20240528041000-03-3320200,大雨警報,倉敷市,2024-05-28 04:10:00+09,2024-05-28 14:32:00+09,0日10時22分00秒間
112,20240526195700-14-3320200,雷注意報,倉敷市,2024-05-26 19:57:00+09,2024-05-28 14:32:00+09,1日18時35分00秒間
113,20240528030500-18-3320200,洪水注意報,倉敷市,2024-05-28 03:05:00+09,2024-05-28 09:10:00+09,0日06時05分00秒間
