datetime,observed,predicted_06h,predicted_24h,predicted_48h
2023-04-18 13:00:00,420.0,436.6844761967659,385.74550771713257,359.7685218453408
2023-04-18 14:00:00,504.0,428.2569027543068,407.8569959402085,353.3928675353527
2023-04-18 15:00:00,508.0,444.4436224102974,429.3734034895897,347.34634482860565
2023-04-18 16:00:00,477.0,453.6170809268952,426.7957674264908,333.4605057537556
2023-04-18 17:00:00,404.0,417.6118308305741,407.49563068151474,313.7493113875389
2023-04-18 18:00:00,320.0,378.05668169260025,388.489194214344,305.71149680018425
2023-04-18 19:00:00,280.0,348.90713611245155,323.65526473522186,295.73011270165443
2023-04-18 20:00:00,305.0,352.0168844461441,314.846312046051,295.6251891553402
2023-04-18 21:00:00,363.0,351.2383089065552,317.3624500632286,294.8312105536461
2023-04-18 22:00:00,319.0,355.65691781044006,325.6413318514824,298.68248999118805
2023-04-18 23:00:00,335.0,355.0191825032234,331.0299482345581,303.2195839881897
2023-04-19 00:00:00,272.0,355.1315149366856,331.8211431503296,311.015346378088
2023-04-19 01:00:00,264.0,354.475521504879,332.7124936580658,306.09877175092697
2023-04-19 02:00:00,269.0,356.2140261530876,340.29685294628143,306.2689049243927
2023-04-19 03:00:00,258.0,361.4902387261391,344.5829584002495,301.1667084097862
2023-04-19 04:00:00,294.0,359.68880850076675,340.7295091152191,305.3488182127476
2023-04-19 05:00:00,298.0,359.6905929148197,351.9464786052704,300.29368740320206
2023-04-19 06:00:00,373.0,359.6263968348503,352.27572441101074,316.80972424149513
2023-04-19 07:00:00,391.0,374.4732356667519,397.3486815094948,346.56933957338333
2023-04-19 08:00:00,444.0,399.26985305547714,422.1018162965775,370.5657685995102
2023-04-19 09:00:00,479.0,419.27361994981766,439.2449533343315,374.0126998126507
2023-04-19 10:00:00,499.0,429.95780622959137,445.53397077322006,376.406526952982
2023-04-19 11:00:00,493.0,429.1718075275421,437.858192384243,378.14344704151154
2023-04-19 12:00:00,424.0,428.41550147533417,435.57060211896896,372.0601368546486
2023-04-19 13:00:00,466.0,421.3991854190826,419.5362000465393,357.74780854582787
